Specie,Group,Assembly,Query,ProteinLength,IsoelectricPoint,MolecularWeight,Localizations,Orthogroup,Domains,Orthogroup_
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049806635.1,432,6.1638,47630.15,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles nili,Diptera,GCF_943737925.1,XP_053673656.1,2390,6.6994,267412.92,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049806512.1,468,8.3056,52834.58,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles nili,Diptera,GCF_943737925.1,XP_053673933.1,421,4.7753,46754.13,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053961620.1,2500,6.7367,279065.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Anopheles nili,Diptera,GCF_943737925.1,XP_053674153.1,506,7.9251,54572.04,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles nili,Diptera,GCF_943737925.1,XP_053674557.1,388,7.5658,42538.62,Extracellular,OG0000000,['Glyco_hydro_18'],0
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049806511.1,470,8.2554,52927.84,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles nili,Diptera,GCF_943737925.1,XP_053675389.1,1001,6.4139,112272.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles nili,Diptera,GCF_943737925.1,XP_053675693.1,933,7.7958,101895.56,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049804866.1,1812,6.0108,200082.73,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049801102.1,996,7.2081,111511.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles nili,Diptera,GCF_943737925.1,XP_053677022.1,502,5.077,55163.23,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles nili,Diptera,GCF_943737925.1,XP_053677453.1,486,4.9238,53399.62,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles nili,Diptera,GCF_943737925.1,XP_053678044.1,543,8.7705,61963.25,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Anopheles nili,Diptera,GCF_943737925.1,XP_053674360.1,399,6.0614,44306.69,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053961619.1,2500,6.7367,279065.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053961618.1,2500,6.7367,279065.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053961617.1,2500,6.7367,279065.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037035618.1,466,4.5536,52188.06,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037039408.1,476,5.1288,53303.08,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037039418.1,476,5.1288,53303.08,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037039806.1,390,6.804,44735.51,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037042150.1,2031,7.5131,221892.79,Extracellular,OG0000000,"['LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'LysM', 'Glyco_hydro_18', 'Endonuclease_NS']",0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037042581.1,392,6.1816,45533.25,Extracellular,OG0000000,['Glyco_hydro_18'],0
Schistocerca nitens,Orthoptera,GCF_023898315.1,XP_049812389.1,514,5.1178,53785.65,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037043945.1,365,6.0772,40876.14,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037044624.1,1015,6.9366,113863.05,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Bradysia coprophila,Diptera,GCF_014529535.1,XP_037049722.1,407,4.5865,45053.19,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053947226.1,411,6.4122,46343.76,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053947236.1,411,5.3074,46395.86,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053947238.1,411,4.4335,46179.11,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053947245.1,590,6.1154,66976.76,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053949349.1,7352,5.5884,809585.1,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053951637.1,490,7.73,55444.1,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053955839.1,481,6.0191,54243.24,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053955840.1,481,6.0191,54243.24,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053955841.1,481,6.0191,54243.24,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053956918.1,1061,6.7001,119377.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anastrepha ludens,Diptera,GCF_028408465.1,XP_053957941.1,498,6.065,56028.31,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles coustani,Diptera,GCF_943734705.1,XP_058124016.1,501,4.9633,54625.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles coustani,Diptera,GCF_943734705.1,XP_058124775.1,988,7.9534,108524.84,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles coustani,Diptera,GCF_943734705.1,XP_058126861.1,558,7.7115,63307.88,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Pseudomyrmex gracilis,Hymenoptera,GCF_002006095.1,XP_020299743.1,2952,5.0628,326867.08,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049280067.1,405,5.7716,46212.27,Extracellular,OG0000000,['Glyco_hydro_18'],0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_031364341.1,503,7.5758,55566.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_006624796.1,469,7.9548,53688.56,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049284146.1,592,7.9237,67636.74,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049284154.1,592,7.9237,67636.74,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049284163.1,592,7.9237,67636.74,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049285457.1,849,5.5331,96772.66,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049285461.1,1069,6.0148,121079.84,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_006621610.1,2665,7.381,301264.34,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_031365248.1,542,6.1384,61734.79,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_006618957.1,390,7.3116,43926.94,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049289485.1,3039,5.1241,332696.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049290197.1,392,5.0597,43669.46,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049293705.1,485,7.3873,52836.34,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049293706.1,485,7.3873,52836.34,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049293707.1,485,8.0592,54244.96,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049293710.1,456,8.4312,50508.25,Cytoplasm|Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_006611517.1,968,5.649,110056.69,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049296118.1,399,5.7469,44186.55,Extracellular,OG0000000,['Glyco_hydro_18'],0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_006611065.1,448,6.3459,51023.05,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049289474.1,3039,5.1241,332696.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049298367.1,1002,6.4142,112408.54,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049278750.1,345,6.2375,38178.57,Cytoplasm|Extracellular,OG0000000,['Glyco_hydro_18'],0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_396925.4,968,5.5691,110117.82,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018802023.1,1022,6.1815,114606.17,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_013110824.2,393,6.8142,45228.6,Extracellular,OG0000000,['Glyco_hydro_18'],0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_013111382.2,576,6.5019,65325.86,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_013112241.1,502,5.8778,57158.7,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_013115524.2,449,7.581,51428.59,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_059216028.1,1016,6.1209,114195.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_059223182.1,8448,5.1075,921046.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018798075.1,491,6.7299,55654.27,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018794816.1,2494,6.7608,278369.76,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049276873.1,2388,6.5441,268389.82,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_059225861.1,937,7.638,104847.42,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14']",0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018787191.1,6788,5.1803,747599.75,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_006562163.1,508,6.8966,56129.13,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_006572082.1,468,7.3916,53515.3,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018787057.1,505,5.0047,56434.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_026296938.1,4483,7.89,499496.62,Extracellular,OG0000000,"['PH', 'Glyco_hydro_18', 'CBM_14']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_026299383.1,2051,5.6516,229055.74,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Apis dorsata,Hymenoptera,GCF_000469605.1,XP_031369189.1,2127,5.0328,239166.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_026299805.1,2659,6.9221,301295.93,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_026300868.1,451,6.7664,51852.01,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Apis mellifera,Hymenoptera,GCF_003254395.2,XP_003250667.2,390,5.7748,43675.48,Extracellular,OG0000000,['Glyco_hydro_18'],0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049298368.1,1002,6.4142,112408.54,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049299170.1,505,5.0591,55560.65,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Anopheles funestus,Diptera,GCF_943734845.2,XP_049299626.1,994,6.9284,109273.14,Cell membrane,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044257267.1,2223,6.9763,251061.6,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044257284.1,1315,8.6187,147819.27,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044260520.1,464,7.7149,52321.98,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044262355.1,2715,6.6584,307936.49,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044262447.1,434,7.8813,49447.39,Extracellular,OG0000000,"['CBM_14', 'Glyco_hydro_18']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265080.1,449,6.1886,50102.15,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265225.1,230,4.4235,25548.98,Cytoplasm|Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265226.1,87,4.3927,9761.99,Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265227.1,356,4.2052,39383.88,Cytoplasm,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044256749.1,533,5.828,60139.69,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265228.1,802,4.6597,88851.46,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'Glyco_hydro_18']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265663.1,486,4.7737,53333.11,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265664.1,384,4.4962,41874.43,Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265665.1,376,4.4144,41560.65,Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265666.1,365,4.4199,39791.45,Extracellular,OG0000000,['Glyco_hydro_18'],0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_045538228.1,548,5.0494,61479.0,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_014360832.2,477,6.0952,54001.69,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_045536425.1,1134,6.402,126484.43,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_014364044.2,507,6.399,57271.3,Extracellular,OG0000000,['Glyco_hydro_18'],0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_014364045.2,507,6.399,57271.3,Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044265229.1,328,5.2409,36432.67,Extracellular|Lysosome/Vacuole,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_045538645.1,532,7.8024,60562.28,Extracellular,OG0000000,['Glyco_hydro_18'],0
Tribolium madens,Coleoptera,GCF_015345945.1,XP_044253062.1,980,7.3031,111115.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_033150624.1,390,6.6802,43515.38,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050575289.1,462,6.8841,52451.4,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050575297.1,4276,7.726,478831.5,Extracellular,OG0000000,"['PH', 'Glyco_hydro_18', 'CBM_14']",0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050579518.1,2766,6.2233,310067.05,Nucleus,OG0000000,"['zf-PARP', 'DNA_ligase_A_N', 'DNA_ligase_A_M', 'DNA_ligase_A_C', 'Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_045540213.1,484,5.987,53703.97,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050580658.1,2687,6.5361,302662.38,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050590314.1,484,6.8074,54142.21,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050590402.1,478,7.2638,54226.94,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050591835.1,447,5.6434,50605.64,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050592716.1,405,5.2689,45423.6,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus affinis,Hymenoptera,GCF_024516045.1,XP_050593157.1,969,5.5797,109877.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017837485.1,469,4.8569,52321.94,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017837487.1,466,8.447,53363.41,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017842472.1,483,5.802,53908.64,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017842473.1,483,5.802,53908.64,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017842475.1,483,5.802,53908.64,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017843536.2,1013,6.0473,113312.37,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017846410.1,586,6.5024,66559.46,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017850230.1,420,7.3963,47509.84,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Papilio machaon,Lepidoptera,GCF_912999745.1,XP_045538646.1,512,6.685,57418.02,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila busckii,Diptera,GCF_011750605.1,XP_017854359.1,2445,6.5367,274270.29,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Drosophila busckii,Diptera,GCF_011750605.1,XP_033150283.1,4732,6.4446,519650.91,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018802031.1,1022,6.1815,114606.17,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Schistocerca americana,Orthoptera,GCF_021461395.2,XP_047004041.1,492,4.6713,54769.52,Extracellular,OG0000000,['Glyco_hydro_18'],0
Stomoxys calcitrans,Diptera,GCF_963082655.1,XP_013106880.1,479,6.0623,54399.77,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bactrocera latifrons,Diptera,GCF_001853355.1,XP_018802733.1,611,6.2095,69186.98,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015509752.2,390,5.869,43135.59,Extracellular,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015509754.2,390,5.869,43135.59,Extracellular,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015509756.2,397,3.8736,43258.75,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015511550.1,965,5.4159,109313.8,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015515301.2,463,5.8114,50304.06,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Pseudomyrmex gracilis,Hymenoptera,GCF_002006095.1,XP_020294607.1,522,5.7194,59110.23,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015518292.1,460,9.1282,51588.1,Extracellular,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015518293.1,410,4.28,45492.27,Extracellular,OG0000000,['Glyco_hydro_18'],0
Pseudomyrmex gracilis,Hymenoptera,GCF_002006095.1,XP_020293846.1,311,6.1399,35627.27,Extracellular,OG0000000,"['CBM_14', 'Glyco_hydro_18']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_015509318.2,2705,5.6712,303118.17,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_046592304.1,390,5.869,43135.59,Extracellular,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_046596940.1,2810,4.7883,310460.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_046598335.1,424,3.9223,46592.42,Extracellular,OG0000000,['Glyco_hydro_18'],0
Neodiprion lecontei,Hymenoptera,GCF_021901455.1,XP_046599370.1,558,5.3026,63374.21,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Pseudomyrmex gracilis,Hymenoptera,GCF_002006095.1,XP_020293833.1,2077,7.0247,232822.96,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18']",0
